video_id,channel_id,video_title,published_at,like_count,comment_count,video_url
B9LizOAAoLg,UCX6OQ3DkcsbYNE6H8uQQuVA,I’m Granting Wishes For My Subscribers,2026-05-07T16:00:00Z,0,0,https://www.youtube.com/watch?v=B9LizOAAoLg
rqsRdfdN4uI,UCX6OQ3DkcsbYNE6H8uQQuVA,Guess The Animal,2026-05-05T16:00:02Z,0,0,https://www.youtube.com/watch?v=rqsRdfdN4uI
feu5PQvoCiA,UCX6OQ3DkcsbYNE6H8uQQuVA,Asking My Fiancée on a Date,2026-05-03T16:00:11Z,0,0,https://www.youtube.com/watch?v=feu5PQvoCiA
6Zy5VLcEbZc,UCX6OQ3DkcsbYNE6H8uQQuVA,"I Stranded 100 People In The Wilderness For $250,000",2026-05-02T16:00:01Z,0,0,https://www.youtube.com/watch?v=6Zy5VLcEbZc
VEGq2Du_HCw,UCX6OQ3DkcsbYNE6H8uQQuVA,"Subscribe for $10,000",2026-05-01T16:00:01Z,0,0,https://www.youtube.com/watch?v=VEGq2Du_HCw
EdT5Z16Y5WE,UCX6OQ3DkcsbYNE6H8uQQuVA,"Would Your Dog Pick $10,000 or Steak?",2026-04-29T16:00:05Z,0,0,https://www.youtube.com/watch?v=EdT5Z16Y5WE
ScjQAcbA9e4,UCX6OQ3DkcsbYNE6H8uQQuVA,Important Announcement From The Grocery Store,2026-04-28T16:00:24Z,0,0,https://www.youtube.com/watch?v=ScjQAcbA9e4
hRBpDdWbUpI,UCX6OQ3DkcsbYNE6H8uQQuVA,Can My Fiancée Lift Me?,2026-04-27T19:01:02Z,0,0,https://www.youtube.com/watch?v=hRBpDdWbUpI
pzxtGL9kzPs,UCX6OQ3DkcsbYNE6H8uQQuVA,Try Not To Get Slimed,2026-04-24T16:00:00Z,0,0,https://www.youtube.com/watch?v=pzxtGL9kzPs
yy-Nt0dRhNI,UCX6OQ3DkcsbYNE6H8uQQuVA,Winner Picks Our Honeymoon,2026-04-21T16:00:02Z,0,0,https://www.youtube.com/watch?v=yy-Nt0dRhNI
